competition,year,match_id,date,time,stage,group,team_a,team_b,score_a,score_b,score_status,stadium,city,country,source,source_file
FIFA World Cup,2022,WC2022_001,2022-11-20,19:00,Group A,Group A,Qatar,Ecuador,0,2,final,Al Bayt Stadium,Al Khor,Qatar,openfootball/worldcup,data/raw/matches/openfootball_worldcup_2022.txt
FIFA World Cup,2022,WC2022_002,2022-11-21,19:00,Group A,Group A,Senegal,Netherlands,0,2,final,Al Thumama Stadium,Doha,Qatar,openfootball/worldcup,data/raw/matches/openfootball_worldcup_2022.txt
FIFA World Cup,2022,WC2022_003,2022-11-25,16:00,Group A,Group A,Qatar,Senegal,1,3,final,Al Thumama Stadium,Doha,Qatar,openfootball/worldcup,data/raw/matches/openfootball_worldcup_2022.txt
FIFA World Cup,2022,WC2022_004,2022-11-25,19:00,Group A,Group A,Netherlands,Ecuador,1,1,final,Khalifa International Stadium,Al Rayyan,Qatar,openfootball/worldcup,data/raw/matches/openfootball_worldcup_2022.txt
FIFA World Cup,2022,WC2022_005,2022-11-29,18:00,Group A,Group A,Ecuador,Senegal,1,2,final,Khalifa International Stadium,Al Rayyan,Qatar,openfootball/worldcup,data/raw/matches/openfootball_worldcup_2022.txt
FIFA World Cup,2022,WC2022_006,2022-11-29,NA,Group A,Group A,Netherlands,Qatar,2,0,final,Al Bayt Stadium,Al Khor,Qatar,openfootball/worldcup,data/raw/matches/openfootball_worldcup_2022.txt
FIFA World Cup,2022,WC2022_007,2022-11-21,16:00,Group B,Group B,England,Iran,6,2,final,Khalifa International Stadium,Al Rayyan,Qatar,openfootball/worldcup,data/raw/matches/openfootball_worldcup_2022.txt
FIFA World Cup,2022,WC2022_008,2022-11-21,22:00,Group B,Group B,USA,Wales,1,1,final,Ahmad bin Ali Stadium,Al Rayyan,Qatar,openfootball/worldcup,data/raw/matches/openfootball_worldcup_2022.txt
FIFA World Cup,2022,WC2022_009,2022-11-25,13:00,Group B,Group B,Wales,Iran,0,2,final,Ahmad bin Ali Stadium,Al Rayyan,Qatar,openfootball/worldcup,data/raw/matches/openfootball_worldcup_2022.txt
FIFA World Cup,2022,WC2022_010,2022-11-25,22:00,Group B,Group B,England,USA,0,0,final,Al Bayt Stadium,Al Khor,Qatar,openfootball/worldcup,data/raw/matches/openfootball_worldcup_2022.txt
FIFA World Cup,2022,WC2022_011,2022-11-29,22:00,Group B,Group B,Wales,England,0,3,final,Ahmad bin Ali Stadium,Al Rayyan,Qatar,openfootball/worldcup,data/raw/matches/openfootball_worldcup_2022.txt
FIFA World Cup,2022,WC2022_012,2022-11-29,22:00,Group B,Group B,Iran,USA,0,1,final,Al Thumama Stadium,Doha,Qatar,openfootball/worldcup,data/raw/matches/openfootball_worldcup_2022.txt
FIFA World Cup,2022,WC2022_013,2022-11-22,13:00,Group C,Group C,Argentina,Saudi Arabia,1,2,final,Lusail Iconic Stadium,Lusail,Qatar,openfootball/worldcup,data/raw/matches/openfootball_worldcup_2022.txt
FIFA World Cup,2022,WC2022_014,2022-11-22,19:00,Group C,Group C,Mexico,Poland,0,0,final,Stadium 974,Doha,Qatar,openfootball/worldcup,data/raw/matches/openfootball_worldcup_2022.txt
FIFA World Cup,2022,WC2022_015,2022-11-26,16:00,Group C,Group C,Poland,Saudi Arabia,2,0,final,Education City Stadium,Al Rayyan,Qatar,openfootball/worldcup,data/raw/matches/openfootball_worldcup_2022.txt
