year,match_id,date,team_a,team_b,bookmaker,market,odds_team_a,odds_draw,odds_team_b,odds_type,collected_at,source,source_url,source_sheet,source_event_id
2022,NA,2022-12-18,Argentina,France,Betfair Exchange,1x2,2.76,3.15,3.05,unknown,2026-06-13T16:10:12-0300,football-data.co.uk,https://www.football-data.co.uk/WorldCup2026.xlsx,WorldCup2022,NA
2022,NA,2022-12-17,Croatia,Morocco,Betfair Exchange,1x2,2.32,3.75,3.25,unknown,2026-06-13T16:10:12-0300,football-data.co.uk,https://www.football-data.co.uk/WorldCup2026.xlsx,WorldCup2022,NA
2022,NA,2022-12-14,France,Morocco,Betfair Exchange,1x2,1.62,4,7.2,unknown,2026-06-13T16:10:12-0300,football-data.co.uk,https://www.football-data.co.uk/WorldCup2026.xlsx,WorldCup2022,NA
2022,NA,2022-12-13,Argentina,Croatia,Betfair Exchange,1x2,2.06,3.1,5,unknown,2026-06-13T16:10:12-0300,football-data.co.uk,https://www.football-data.co.uk/WorldCup2026.xlsx,WorldCup2022,NA
2022,NA,2022-12-10,England,France,Betfair Exchange,1x2,2.98,3.2,2.8,unknown,2026-06-13T16:10:12-0300,football-data.co.uk,https://www.football-data.co.uk/WorldCup2026.xlsx,WorldCup2022,NA
2022,NA,2022-12-10,Morocco,Portugal,Betfair Exchange,1x2,6.6,4,1.66,unknown,2026-06-13T16:10:12-0300,football-data.co.uk,https://www.football-data.co.uk/WorldCup2026.xlsx,WorldCup2022,NA
2022,NA,2022-12-09,Netherlands,Argentina,Betfair Exchange,1x2,3.75,3.25,2.32,unknown,2026-06-13T16:10:12-0300,football-data.co.uk,https://www.football-data.co.uk/WorldCup2026.xlsx,WorldCup2022,NA
2022,NA,2022-12-09,Croatia,Brazil,Betfair Exchange,1x2,9.8,4.9,1.43,unknown,2026-06-13T16:10:12-0300,football-data.co.uk,https://www.football-data.co.uk/WorldCup2026.xlsx,WorldCup2022,NA
2022,NA,2022-12-06,Portugal,Switzerland,Betfair Exchange,1x2,1.96,3.65,4.5,unknown,2026-06-13T16:10:12-0300,football-data.co.uk,https://www.football-data.co.uk/WorldCup2026.xlsx,WorldCup2022,NA
2022,NA,2022-12-06,Morocco,Spain,Betfair Exchange,1x2,6.6,4,1.65,unknown,2026-06-13T16:10:12-0300,football-data.co.uk,https://www.football-data.co.uk/WorldCup2026.xlsx,WorldCup2022,NA
