year,match_id,date,team_a,team_b,bookmaker,market,odds_team_a,odds_draw,odds_team_b,odds_type,collected_at,source,source_url,source_sheet,source_event_id
2022,NA,2022-11-20,Qatar,Ecuador,Betfair Exchange,1x2,4,3.2,2.26,unknown,2026-06-13T19:10:12Z,football-data.co.uk,https://www.football-data.co.uk/WorldCup2026.xlsx,WorldCup2022,NA
2022,NA,2022-11-20,Qatar,Ecuador,Market average,1x2,3.59,3.11,2.22,average,2026-06-13T19:10:12Z,football-data.co.uk,https://www.football-data.co.uk/WorldCup2026.xlsx,WorldCup2022,NA
2022,NA,2022-11-20,Qatar,Ecuador,Market maximum,1x2,3.75,3.2,2.25,maximum,2026-06-13T19:10:12Z,football-data.co.uk,https://www.football-data.co.uk/WorldCup2026.xlsx,WorldCup2022,NA
2022,NA,2022-11-21,England,Iran,Betfair Exchange,1x2,1.39,4.9,12,unknown,2026-06-13T19:10:12Z,football-data.co.uk,https://www.football-data.co.uk/WorldCup2026.xlsx,WorldCup2022,NA
2022,NA,2022-11-21,England,Iran,Market average,1x2,1.37,4.56,10.14,average,2026-06-13T19:10:12Z,football-data.co.uk,https://www.football-data.co.uk/WorldCup2026.xlsx,WorldCup2022,NA
2022,NA,2022-11-21,England,Iran,Market maximum,1x2,1.4,4.75,11,maximum,2026-06-13T19:10:12Z,football-data.co.uk,https://www.football-data.co.uk/WorldCup2026.xlsx,WorldCup2022,NA
2022,NA,2022-11-21,Senegal,Netherlands,Betfair Exchange,1x2,6.4,3.8,1.72,unknown,2026-06-13T19:10:12Z,football-data.co.uk,https://www.football-data.co.uk/WorldCup2026.xlsx,WorldCup2022,NA
2022,NA,2022-11-21,Senegal,Netherlands,Market average,1x2,5.85,3.63,1.65,average,2026-06-13T19:10:12Z,football-data.co.uk,https://www.football-data.co.uk/WorldCup2026.xlsx,WorldCup2022,NA
2022,NA,2022-11-21,Senegal,Netherlands,Market maximum,1x2,6.25,3.75,1.68,maximum,2026-06-13T19:10:12Z,football-data.co.uk,https://www.football-data.co.uk/WorldCup2026.xlsx,WorldCup2022,NA
2022,NA,2022-11-21,USA,Wales,Betfair Exchange,1x2,2.56,3.2,3.3,unknown,2026-06-13T19:10:12Z,football-data.co.uk,https://www.football-data.co.uk/WorldCup2026.xlsx,WorldCup2022,NA
2022,NA,2022-11-21,USA,Wales,Market average,1x2,2.43,3.07,3.17,average,2026-06-13T19:10:12Z,football-data.co.uk,https://www.football-data.co.uk/WorldCup2026.xlsx,WorldCup2022,NA
2022,NA,2022-11-21,USA,Wales,Market maximum,1x2,2.5,3.1,3.4,maximum,2026-06-13T19:10:12Z,football-data.co.uk,https://www.football-data.co.uk/WorldCup2026.xlsx,WorldCup2022,NA
2022,NA,2022-11-22,Argentina,Saudi Arabia,Betfair Exchange,1x2,1.13,11,34,unknown,2026-06-13T19:10:12Z,football-data.co.uk,https://www.football-data.co.uk/WorldCup2026.xlsx,WorldCup2022,NA
2022,NA,2022-11-22,Argentina,Saudi Arabia,Market average,1x2,1.11,9.08,25.5,average,2026-06-13T19:10:12Z,football-data.co.uk,https://www.football-data.co.uk/WorldCup2026.xlsx,WorldCup2022,NA
2022,NA,2022-11-22,Argentina,Saudi Arabia,Market maximum,1x2,1.13,10,31,maximum,2026-06-13T19:10:12Z,football-data.co.uk,https://www.football-data.co.uk/WorldCup2026.xlsx,WorldCup2022,NA
2022,NA,2022-11-22,Denmark,Tunisia,Betfair Exchange,1x2,1.62,3.95,7.4,unknown,2026-06-13T19:10:12Z,football-data.co.uk,https://www.football-data.co.uk/WorldCup2026.xlsx,WorldCup2022,NA
2022,NA,2022-11-22,Denmark,Tunisia,Market average,1x2,1.57,3.82,6.45,average,2026-06-13T19:10:12Z,football-data.co.uk,https://www.football-data.co.uk/WorldCup2026.xlsx,WorldCup2022,NA
