reference_date,team,country_code,confederation,rank,previous_rank,points,previous_points,matches,source,source_url,source_api_url,source_schedule_id,collection_status,collected_at
2026-06-11,Argentina,ARG,CONMEBOL,1,3,1877.27,1874.81,49,FIFA/Coca-Cola Men's World Ranking,https://inside.fifa.com/fifa-world-ranking/men,https://api.fifa.com/api/v3/rankings/?gender=1&count=300&language=en,id15136,ok,2026-06-15T14:12:31-0300
2026-06-11,Spain,ESP,UEFA,2,2,1874.71,1876.4,48,FIFA/Coca-Cola Men's World Ranking,https://inside.fifa.com/fifa-world-ranking/men,https://api.fifa.com/api/v3/rankings/?gender=1&count=300&language=en,id15136,ok,2026-06-15T14:12:31-0300
2026-06-11,France,FRA,UEFA,3,1,1870.7,1877.32,49,FIFA/Coca-Cola Men's World Ranking,https://inside.fifa.com/fifa-world-ranking/men,https://api.fifa.com/api/v3/rankings/?gender=1&count=300&language=en,id15136,ok,2026-06-15T14:12:31-0300
2026-06-11,England,ENG,UEFA,4,4,1828.02,1825.97,50,FIFA/Coca-Cola Men's World Ranking,https://inside.fifa.com/fifa-world-ranking/men,https://api.fifa.com/api/v3/rankings/?gender=1&count=300&language=en,id15136,ok,2026-06-15T14:12:31-0300
2026-06-11,Portugal,POR,UEFA,5,5,1767.85,1763.83,48,FIFA/Coca-Cola Men's World Ranking,https://inside.fifa.com/fifa-world-ranking/men,https://api.fifa.com/api/v3/rankings/?gender=1&count=300&language=en,id15136,ok,2026-06-15T14:12:31-0300
2026-06-11,Brazil,BRA,CONMEBOL,6,6,1765.86,1761.16,44,FIFA/Coca-Cola Men's World Ranking,https://inside.fifa.com/fifa-world-ranking/men,https://api.fifa.com/api/v3/rankings/?gender=1&count=300&language=en,id15136,ok,2026-06-15T14:12:31-0300
2026-06-11,Morocco,MAR,CAF,7,8,1755.1,1755.87,69,FIFA/Coca-Cola Men's World Ranking,https://inside.fifa.com/fifa-world-ranking/men,https://api.fifa.com/api/v3/rankings/?gender=1&count=300&language=en,id15136,ok,2026-06-15T14:12:31-0300
2026-06-11,Netherlands,NED,UEFA,8,7,1753.57,1757.87,49,FIFA/Coca-Cola Men's World Ranking,https://inside.fifa.com/fifa-world-ranking/men,https://api.fifa.com/api/v3/rankings/?gender=1&count=300&language=en,id15136,ok,2026-06-15T14:12:31-0300
2026-06-11,Belgium,BEL,UEFA,9,9,1742.24,1734.71,46,FIFA/Coca-Cola Men's World Ranking,https://inside.fifa.com/fifa-world-ranking/men,https://api.fifa.com/api/v3/rankings/?gender=1&count=300&language=en,id15136,ok,2026-06-15T14:12:31-0300
2026-06-11,Germany,GER,UEFA,10,10,1735.77,1730.37,47,FIFA/Coca-Cola Men's World Ranking,https://inside.fifa.com/fifa-world-ranking/men,https://api.fifa.com/api/v3/rankings/?gender=1&count=300&language=en,id15136,ok,2026-06-15T14:12:31-0300
