team,team_key,external_overall_primary_source,external_overall_primary_40_99,external_overall_consensus_40_99,fifa_rank,fifa_points,fifa_overall_40_99,reference_date_fifa,elo_external_rank,elo_external_rating,elo_external_overall_40_99,reference_date_world_football_elo
Argentina,argentina,fifa,99,98.87809917355372,1,1877.27,99,2026-06-11,2,2115,98.75619834710744,2026-06-15
Spain,spain,fifa,98.71904761904761,98.85952380952381,2,1874.71,98.71904761904761,2026-06-11,1,2157,99,2026-06-15
France,france,fifa,98.43809523809524,98.47524596615506,3,1870.7,98.43809523809524,2026-06-11,3,2063,98.51239669421489,2026-06-15
England,england,fifa,98.15714285714286,98.21286894923259,4,1828.02,98.15714285714286,2026-06-11,4,2024,98.26859504132231,2026-06-15
Portugal,portugal,fifa,97.87619047619047,97.95049193231011,5,1767.85,97.87619047619047,2026-06-11,5,1989,98.02479338842976,2026-06-15
Brazil,brazil,fifa,97.5952380952381,97.56621408894136,6,1765.86,97.5952380952381,2026-06-11,7,1978,97.53719008264463,2026-06-15
Morocco,morocco,fifa,97.31428571428572,95.59722550177096,7,1755.1,97.31428571428572,2026-06-11,22,1840,93.8801652892562,2026-06-15
Netherlands,netherlands,fifa,97.03333333333333,97.1633608815427,8,1753.57,97.03333333333333,2026-06-11,8,1944,97.29338842975207,2026-06-15
Belgium,belgium,fifa,96.75238095238095,96.4133805588351,9,1742.24,96.75238095238095,2026-06-11,13,1894,96.07438016528926,2026-06-15
Germany,germany,fifa,96.47142857142858,96.76050767414404,10,1735.77,96.47142857142858,2026-06-11,9,1939,97.04958677685951,2026-06-15
Croatia,croatia,fifa,96.19047619047619,96.37622983077529,11,1714.87,96.19047619047619,2026-06-11,11,1912,96.56198347107438,2026-06-15
Italy,italy,fifa,95.9095238095238,95.38244785517512,12,1704.73,95.9095238095238,2026-06-11,17,1869,94.85537190082644,2026-06-15
Colombia,colombia,fifa,95.62857142857143,96.70478158205431,13,1698.35,95.62857142857143,2026-06-11,6,1982,97.78099173553719,2026-06-15
Mexico,mexico,fifa,95.34761904761905,95.34529712711532,14,1687.48,95.34761904761905,2026-06-11,16,1881,95.34297520661157,2026-06-15
Senegal,senegal,fifa,95.06666666666666,94.717217630854,15,1684.07,95.06666666666666,2026-06-11,20,1860,94.36776859504133,2026-06-15
Uruguay,uruguay,fifa,94.78571428571428,95.30814639905549,16,1673.07,94.78571428571428,2026-06-11,14,1892,95.8305785123967,2026-06-15
USA,usa,fifa,94.5047619047619,93.33915781188509,17,1671.23,94.5047619047619,2026-06-11,27,1780,92.17355371900827,2026-06-15
Japan,japan,fifa,94.22380952380952,95.27099567099566,18,1661.58,94.22380952380952,2026-06-11,12,1910,96.31818181818181,2026-06-15
Switzerland,switzerland,fifa,93.94285714285715,94.27721369539552,19,1650.06,93.94285714285715,2026-06-11,19,1865,94.61157024793388,2026-06-15
IR Iran,iran,fifa,93.66190476190476,92.55202676111767,20,1619.58,93.66190476190476,2026-06-11,30,1772,91.44214876033058,2026-06-15
Denmark,denmark,fifa,93.38095238095238,94.11816214088941,21,1619.47,93.38095238095238,2026-06-11,17,1869,94.85537190082644,2026-06-15
Türkiye,turkey,fifa,93.1,93.61198347107438,22,1605.73,93.1,2026-06-11,21,1849,94.12396694214877,2026-06-15
Ecuador,ecuador,fifa,92.81904761904762,94.20291223927588,23,1598.52,92.81904761904762,2026-06-11,15,1890,95.58677685950413,2026-06-15
Austria,austria,fifa,92.53809523809524,92.96532861078316,24,1597.4,92.53809523809524,2026-06-11,24,1830,93.39256198347107,2026-06-15
Korea Republic,south korea,fifa,92.25714285714285,92.58105076741441,25,1591.63,92.25714285714285,2026-06-11,26,1786,92.90495867768595,2026-06-15
Nigeria,nigeria,fifa,91.97619047619048,91.46536796536796,26,1585.02,91.97619047619048,2026-06-11,33,1767,90.95454545454545,2026-06-15
Australia,australia,fifa,91.6952380952381,92.66580086580086,27,1579.34,91.6952380952381,2026-06-11,23,1839,93.63636363636363,2026-06-15
Algeria,algeria,fifa,91.41428571428571,91.42821723730815,28,1571.03,91.41428571428571,2026-06-11,30,1772,91.44214876033058,2026-06-15
Egypt,egypt,fifa,91.13333333333333,89.21542699724517,29,1562.37,91.13333333333333,2026-06-11,49,1696,87.29752066115702,2026-06-15
Canada,canada,fifa,90.85238095238095,90.9034632034632,30,1559.48,90.85238095238095,2026-06-11,33,1767,90.95454545454545,2026-06-15
Norway,norway,fifa,90.57142857142857,93.68860684769776,31,1557.44,90.57142857142857,2026-06-11,10,1914,96.80578512396694,2026-06-15
Ukraine,ukraine,fifa,90.2904761904762,91.23201495474223,32,1549.29,90.2904761904762,2026-06-11,27,1780,92.17355371900827,2026-06-15
Côte d'Ivoire,ivory coast,fifa,90.00952380952381,90.11633215269579,33,1540.87,90.00952380952381,2026-06-11,37,1743,90.22314049586777,2026-06-15
Panama,panama,fifa,89.72857142857143,89.61015348288075,34,1539.16,89.72857142857143,2026-06-11,40,1730,89.49173553719008,2026-06-15
Russia,russia,fifa,89.44761904761904,90.44488390397481,35,1529.6,89.44761904761904,2026-06-11,30,1772,91.44214876033058,2026-06-15
Poland,poland,fifa,89.16666666666667,88.59779614325069,36,1526.18,89.16666666666667,2026-06-11,45,1710,88.02892561983471,2026-06-15
Wales,wales,fifa,88.88571428571429,87.8478158205431,37,1516.95,88.88571428571429,2026-06-11,50,1682,86.80991735537191,2026-06-15
Sweden,sweden,fifa,88.6047619047619,89.6577528532074,38,1509.79,88.6047619047619,2026-06-11,35,1755,90.7107438016529,2026-06-15
Hungary,hungary,fifa,88.32380952380953,88.17636757182211,39,1506.39,88.32380952380953,2026-06-11,45,1710,88.02892561983471,2026-06-15
Czechia,czech republic,fifa,88.04285714285714,88.27969303423849,40,1505.74,88.04285714285714,2026-06-11,44,1712,88.51652892561984,2026-06-15
Paraguay,paraguay,fifa,87.76190476190476,89.96772924045652,41,1505.35,87.76190476190476,2026-06-11,27,1780,92.17355371900827,2026-06-15
Scotland,scotland,fifa,87.48095238095237,90.31485635576544,42,1503.34,87.48095238095237,2026-06-11,25,1794,93.14876033057851,2026-06-15
Serbia,serbia,fifa,87.2,88.5896694214876,43,1502.13,87.2,2026-06-11,38,1734,89.97933884297521,2026-06-15
Cameroon,cameroon,fifa,86.91904761904762,85.64547422274694,44,1481.24,86.91904761904762,2026-06-11,61,1614,84.37190082644628,2026-06-15
Tunisia,tunisia,fifa,86.63809523809525,84.77359307359308,45,1476.41,86.63809523809525,2026-06-11,67,1585,82.9090909090909,2026-06-15
Congo DR,dr congo,fifa,86.35714285714286,86.09592680047226,46,1474.43,86.35714285714286,2026-06-11,55,1652,85.83471074380165,2026-06-15
Slovakia,slovakia,fifa,86.07619047619048,86.19925226288862,47,1473.66,86.07619047619048,2026-06-11,53,1667,86.32231404958678,2026-06-15
Greece,greece,fifa,85.79523809523809,88.13109012199921,48,1473.19,85.79523809523809,2026-06-11,36,1744,90.46694214876032,2026-06-15
Venezuela,venezuela,fifa,85.51428571428572,87.6249114521842,49,1469.18,85.51428571428572,2026-06-11,39,1733,89.73553719008265,2026-06-15
Uzbekistan,uzbekistan,fifa,85.23333333333333,86.99683195592286,50,1458.73,85.23333333333333,2026-06-11,43,1714,88.7603305785124,2026-06-15
Chile,chile,fifa,84.95238095238095,87.10015741833924,51,1458.2,84.95238095238095,2026-06-11,41,1717,89.24793388429752,2026-06-15
Peru,peru,fifa,84.67142857142858,86.22827626918536,52,1457.69,84.67142857142858,2026-06-11,47,1700,87.78512396694214,2026-06-15
Costa Rica,costa rica,fifa,84.39047619047619,84.25928768201496,53,1456.03,84.39047619047619,2026-06-11,62,1608,84.12809917355372,2026-06-15
Romania,romania,fifa,84.10952380952381,84.72831562377017,54,1455.89,84.10952380952381,2026-06-11,57,1639,85.34710743801654,2026-06-15
Mali,mali,fifa,83.82857142857142,83.49073199527744,55,1455.59,83.82857142857142,2026-06-11,66,1588,83.15289256198346,2026-06-15
Qatar,qatar,fifa,83.54761904761905,80.42463597009052,56,1450.31,83.54761904761905,2026-06-11,90,1447,77.30165289256198,2026-06-15
Iraq,iraq,fifa,83.26666666666667,83.57548209366391,57,1446.28,83.26666666666667,2026-06-11,63,1607,83.88429752066116,2026-06-15
Republic of Ireland,republic of ireland,fifa,82.98571428571428,82.98571428571428,58,1441.1,82.98571428571428,2026-06-11,NA,NA,NA,NA
Slovenia,slovenia,fifa,82.70476190476191,84.75733963006691,59,1441.09,82.70476190476191,2026-06-11,50,1682,86.80991735537191,2026-06-15
South Africa,south africa,fifa,82.42380952380952,81.08173947264856,60,1428.38,82.42380952380952,2026-06-11,80,1511,79.7396694214876,2026-06-15
Saudi Arabia,saudi arabia,fifa,82.14285714285714,82.28217237308147,61,1423.88,82.14285714285714,2026-06-11,69,1576,82.42148760330579,2026-06-15
Burkina Faso,burkina faso,fifa,81.86190476190475,81.16648957103502,62,1406.99,81.86190476190475,2026-06-11,77,1529,80.47107438016529,2026-06-15
Jordan,jordan,fifa,81.58095238095238,84.07353404171587,63,1387.74,81.58095238095238,2026-06-11,52,1680,86.56611570247935,2026-06-15
