competition,year,match_id,date,time,stage,group,team_a,team_b,score_a,score_b,score_status,stadium,city,country,source,source_file,team_a_key,team_b_key,actual_result,is_group_stage,is_knockout_placeholder,odds_match_id,odds_source,odds_aggregate_method,n_bookmakers,odds_team_a,odds_draw,odds_team_b,odds_overround,market_p_a,market_p_d,market_p_b,market_pred_result,external_overall_a,fifa_rank_a,fifa_points_a,fifa_overall_a,elo_external_rank_a,elo_external_rating_a,elo_external_overall_a,external_overall_b,fifa_rank_b,fifa_points_b,fifa_overall_b,elo_external_rank_b,elo_external_rating_b,elo_external_overall_b,elo_pre_a,elo_pre_b,elo_join_direction,external_overall_diff,fifa_rank_diff,fifa_points_diff,elo_external_rating_diff,elo_pre_diff,model_elo_diff,neutral,recent_matches_a,recent_points_per_match_a,recent_goals_for_a,recent_goals_against_a,recent_matches_b,recent_points_per_match_b,recent_goals_for_b,recent_goals_against_b,recent_points_per_match_diff,recent_goals_for_diff,recent_goals_against_diff
FIFA World Cup,2022,WC2022_001,2022-11-20,19:00:00,Group A,Group A,Qatar,Ecuador,0,2,final,Al Bayt Stadium,Al Khor,Qatar,openfootball/worldcup,data/raw/matches/openfootball_worldcup_2022.txt,qatar,ecuador,B,TRUE,FALSE,NA,football-data.co.uk,football_data_market_average,1,3.59,3.11,2.22,1.0505453908440052,0.2651494494775125,0.3060728371782218,0.4287777133442657,B,80.42463597009052,56,1450.31,83.54761904761905,90,1447,77.30165289256198,94.20291223927588,23,1598.52,92.81904761904762,15,1890,95.58677685950413,1693.6402703578112,1744.12219683312,direct,-13.778276269185355,33,-148.21000000000004,-443,-50.48192647530868,-50.48192647530868,TRUE,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA
FIFA World Cup,2022,WC2022_002,2022-11-21,19:00:00,Group A,Group A,Senegal,Netherlands,0,2,final,Al Thumama Stadium,Doha,Qatar,openfootball/worldcup,data/raw/matches/openfootball_worldcup_2022.txt,senegal,netherlands,B,TRUE,FALSE,NA,football-data.co.uk,football_data_market_average,1,5.85,3.63,1.65,1.052482870664689,0.16241610738255033,0.26174496644295303,0.5758389261744966,B,94.717217630854,15,1684.07,95.06666666666666,20,1860,94.36776859504133,97.1633608815427,8,1753.57,97.03333333333332,8,1944,97.29338842975208,1722.2234042415844,1893.2585999545863,direct,-2.4461432506887064,7,-69.5,-84,-171.03519571300194,-171.03519571300194,TRUE,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA
FIFA World Cup,2022,WC2022_007,2022-11-21,16:00:00,Group B,Group B,England,Iran,6,2,final,Khalifa International Stadium,Al Rayyan,Qatar,openfootball/worldcup,data/raw/matches/openfootball_worldcup_2022.txt,england,iran,A,TRUE,FALSE,NA,football-data.co.uk,football_data_market_average,1,1.37,4.56,10.14,1.0478445823018654,0.6965985410697014,0.2092850879968182,0.09411637093348035,A,98.2128689492326,4,1828.02,98.15714285714286,4,2024,98.26859504132231,92.55202676111767,20,1619.58,93.66190476190476,30,1772,91.44214876033058,1883.5094545452664,1805.801057875109,direct,5.660842188114927,-16,208.44000000000005,252,77.7083966701573,77.7083966701573,TRUE,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA
FIFA World Cup,2022,WC2022_008,2022-11-21,22:00:00,Group B,Group B,USA,Wales,1,1,final,Ahmad bin Ali Stadium,Al Rayyan,Qatar,openfootball/worldcup,data/raw/matches/openfootball_worldcup_2022.txt,usa,wales,D,TRUE,FALSE,NA,football-data.co.uk,football_data_market_average,1,2.43,3.07,3.17,1.0527129460168687,0.3909162847307301,0.30942233612236947,0.29966137914690033,A,93.33915781188507,17,1671.23,94.5047619047619,27,1780,92.17355371900828,87.8478158205431,37,1516.95,88.88571428571429,50,1682,86.80991735537191,1792.8352092325458,1712.5234831617888,direct,5.491341991341969,-20,154.27999999999997,98,80.311726070757,80.311726070757,TRUE,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA
FIFA World Cup,2022,WC2022_013,2022-11-22,13:00:00,Group C,Group C,Argentina,Saudi Arabia,1,2,final,Lusail Iconic Stadium,Lusail,Qatar,openfootball/worldcup,data/raw/matches/openfootball_worldcup_2022.txt,argentina,saudi arabia,B,TRUE,FALSE,NA,football-data.co.uk,football_data_market_average,1,1.11,9.08,25.5,1.050248745765719,0.8577976451131764,0.10486292798189711,0.037339426904926504,A,98.87809917355372,1,1877.27,99,2,2115,98.75619834710744,82.28217237308147,61,1423.88,82.14285714285714,69,1576,82.42148760330579,1958.4609591367955,1664.6334165669773,direct,16.595926800472256,-60,453.3899999999999,539,293.8275425698182,293.8275425698182,TRUE,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA
FIFA World Cup,2022,WC2022_014,2022-11-22,19:00:00,Group C,Group C,Mexico,Poland,0,0,final,Stadium 974,Doha,Qatar,openfootball/worldcup,data/raw/matches/openfootball_worldcup_2022.txt,mexico,poland,D,TRUE,FALSE,NA,football-data.co.uk,football_data_market_average,1,2.47,3.09,3.09,1.0521074905336532,0.38480697384806967,0.30759651307596514,0.30759651307596514,A,95.34529712711532,14,1687.48,95.34761904761903,16,1881,95.34297520661156,88.59779614325069,36,1526.18,89.16666666666667,45,1710,88.02892561983471,1775.9440066095333,1755.0348144485702,direct,6.747500983864626,-22,161.29999999999995,171,20.90919216096313,20.90919216096313,TRUE,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA
FIFA World Cup,2022,WC2022_019,2022-11-22,16:00:00,Group D,Group D,Denmark,Tunisia,0,0,final,Education City Stadium,Al Rayyan,Qatar,openfootball/worldcup,data/raw/matches/openfootball_worldcup_2022.txt,denmark,tunisia,D,TRUE,FALSE,NA,football-data.co.uk,football_data_market_average,1,1.57,3.82,6.45,1.0537615395612001,0.604446690495524,0.24842442515130178,0.14712888435317406,A,94.1181621408894,21,1619.47,93.38095238095238,17,1869,94.85537190082644,84.77359307359308,45,1476.41,86.63809523809525,67,1585,82.9090909090909,1827.1943901211157,1704.2088553928688,direct,9.34456906729632,-24,143.05999999999995,284,122.98553472824688,122.98553472824688,TRUE,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA
FIFA World Cup,2022,WC2022_020,2022-11-22,22:00:00,Group D,Group D,France,Australia,4,1,final,Al Janoub Stadium,Al Wakrah,Qatar,openfootball/worldcup,data/raw/matches/openfootball_worldcup_2022.txt,france,australia,A,TRUE,FALSE,NA,football-data.co.uk,football_data_market_average,1,1.2,6.58,13.69,1.0583550362158758,0.7873854281573579,0.14359612671562758,0.06901844512701458,A,98.47524596615506,3,1870.7,98.43809523809524,3,2063,98.51239669421489,92.66580086580086,27,1579.34,91.6952380952381,23,1839,93.63636363636364,1914.1676563115348,1743.0638748838076,direct,5.809445100354196,-24,291.3600000000001,224,171.1037814277272,171.1037814277272,TRUE,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA
FIFA World Cup,2022,WC2022_025,2022-11-23,16:00:00,Group E,Group E,Germany,Japan,1,2,final,Khalifa International Stadium,Al Rayyan,Qatar,openfootball/worldcup,data/raw/matches/openfootball_worldcup_2022.txt,germany,japan,B,TRUE,FALSE,NA,football-data.co.uk,football_data_market_average,1,1.41,4.85,7.17,1.054875439113339,0.6723256906542002,0.19545963377781905,0.1322146755679808,A,96.76050767414404,10,1735.77,96.47142857142858,9,1939,97.04958677685951,95.27099567099566,18,1661.58,94.22380952380952,12,1910,96.3181818181818,1873.219210926776,1791.4085099037022,direct,1.489512003148377,-8,74.19000000000005,29,81.81070102307376,81.81070102307376,TRUE,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA
FIFA World Cup,2022,WC2022_026,2022-11-23,19:00:00,Group E,Group E,Spain,Costa Rica,7,0,final,Al Thumama Stadium,Doha,Qatar,openfootball/worldcup,data/raw/matches/openfootball_worldcup_2022.txt,spain,costa rica,A,TRUE,FALSE,NA,football-data.co.uk,football_data_market_average,1,1.14,8.33,17.4,1.0547122660316395,0.8316893722650858,0.11382063437961558,0.05448999335529873,A,98.8595238095238,2,1874.71,98.7190476190476,1,2157,99,84.25928768201496,53,1456.03,84.39047619047619,62,1608,84.12809917355372,1925.7790264396704,1697.7747492935769,direct,14.600236127508836,-51,418.68000000000006,549,228.0042771460935,228.0042771460935,TRUE,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA
