model,year,match_id,date,stage,group,team_a,team_b,score_a,score_b,score_status,actual_result,pred_p_a,pred_p_d,pred_p_b,pred_result,lambda_a,lambda_b,pred_score_a,pred_score_b,pred_score,pred_score_probability,observed_score_probability,odds_aggregate_method,n_bookmakers
baseline_market_1x2,2022,WC2022_001,2022-11-20,Group A,Group A,Qatar,Ecuador,0,2,final,B,0.2651494494775125,0.3060728371782218,0.4287777133442657,B,NA,NA,NA,NA,NA,NA,NA,football_data_market_average,1
baseline_market_1x2,2022,WC2022_002,2022-11-21,Group A,Group A,Senegal,Netherlands,0,2,final,B,0.16241610738255033,0.26174496644295303,0.5758389261744966,B,NA,NA,NA,NA,NA,NA,NA,football_data_market_average,1
baseline_market_1x2,2022,WC2022_007,2022-11-21,Group B,Group B,England,Iran,6,2,final,A,0.6965985410697014,0.2092850879968182,0.09411637093348035,A,NA,NA,NA,NA,NA,NA,NA,football_data_market_average,1
baseline_market_1x2,2022,WC2022_008,2022-11-21,Group B,Group B,USA,Wales,1,1,final,D,0.3909162847307301,0.30942233612236947,0.29966137914690033,A,NA,NA,NA,NA,NA,NA,NA,football_data_market_average,1
baseline_market_1x2,2022,WC2022_013,2022-11-22,Group C,Group C,Argentina,Saudi Arabia,1,2,final,B,0.8577976451131764,0.10486292798189711,0.0373394269049265,A,NA,NA,NA,NA,NA,NA,NA,football_data_market_average,1
baseline_market_1x2,2022,WC2022_014,2022-11-22,Group C,Group C,Mexico,Poland,0,0,final,D,0.38480697384806967,0.30759651307596514,0.30759651307596514,A,NA,NA,NA,NA,NA,NA,NA,football_data_market_average,1
baseline_market_1x2,2022,WC2022_019,2022-11-22,Group D,Group D,Denmark,Tunisia,0,0,final,D,0.604446690495524,0.24842442515130175,0.14712888435317406,A,NA,NA,NA,NA,NA,NA,NA,football_data_market_average,1
baseline_market_1x2,2022,WC2022_020,2022-11-22,Group D,Group D,France,Australia,4,1,final,A,0.7873854281573579,0.14359612671562758,0.06901844512701458,A,NA,NA,NA,NA,NA,NA,NA,football_data_market_average,1
baseline_market_1x2,2022,WC2022_025,2022-11-23,Group E,Group E,Germany,Japan,1,2,final,B,0.6723256906542002,0.19545963377781905,0.1322146755679808,A,NA,NA,NA,NA,NA,NA,NA,football_data_market_average,1
baseline_market_1x2,2022,WC2022_026,2022-11-23,Group E,Group E,Spain,Costa Rica,7,0,final,A,0.8316893722650858,0.11382063437961558,0.05448999335529873,A,NA,NA,NA,NA,NA,NA,NA,football_data_market_average,1
baseline_market_1x2,2022,WC2022_031,2022-11-23,Group F,Group F,Morocco,Croatia,0,0,final,D,0.27587089170937457,0.29471921350318275,0.42940989478744274,B,NA,NA,NA,NA,NA,NA,NA,football_data_market_average,1
baseline_market_1x2,2022,WC2022_032,2022-11-23,Group F,Group F,Belgium,Canada,1,0,final,A,0.6057217653355792,0.22860172393674505,0.16567651072767584,A,NA,NA,NA,NA,NA,NA,NA,football_data_market_average,1
baseline_market_1x2,2022,WC2022_037,2022-11-24,Group G,Group G,Switzerland,Cameroon,1,0,final,A,0.5269367448471927,0.2814498933901919,0.19161336176261548,A,NA,NA,NA,NA,NA,NA,NA,football_data_market_average,1
baseline_market_1x2,2022,WC2022_038,2022-11-24,Group G,Group G,Brazil,Serbia,2,0,final,A,0.6551964543598426,0.2115432498381555,0.1332602958020019,A,NA,NA,NA,NA,NA,NA,NA,football_data_market_average,1
baseline_market_1x2,2022,WC2022_043,2022-11-24,Group H,Group H,Uruguay,South Korea,0,0,final,D,0.5347993141512623,0.27358230810628154,0.1916183777424563,A,NA,NA,NA,NA,NA,NA,NA,football_data_market_average,1
